,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
27400,My Father Die,2016,insufficient sample,6.0,0.0,11.0,Missing,Missing,"Deaf and mute since having his hearing knocked out at the age of 12, Asher has been training for almost two decades to avenge himself on Ivan, the man that killed his older brother, 21 years ago. And now that his nemesis is out of prison, he gets his chance. But Asher's target also happens to be his father."
27401,The Book of Love,2017,insufficient sample,3.0,Missing,Missing,Missing,Missing,"After tragedy strikes Henry and Penny, he befriends a tenacious young girl and discovers she is constructing a raft to sail across the Atlantic to find her lost father. Together, along with some unlikely friends, they set forth to construct the vessel and subsequently rebuild their lives."
27402,Red Billabong,2016,Missing,Missing,insufficient sample,4.0,Missing,Missing,"In the Australian Outback, two brothers discover old secrets and family lies. As their friends start to go missing they fear they are being stalked by someone or something from their worst nightmares - But is it just - A story? A legend? A hoax? Or is it real?"
27403,Onus,2016,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing,"A teenager wakes up near a cliff, injured and unable to remember how he got there. He is chained to a man in a suit and there is a gun gaffer-taped to each of their hands. An unknown person soon sends them shocking instructions of what they must do next, as the horror of the situation unfolds with nail-biting consequences."
27404,The Hollow Point,2016,insufficient sample,7.0,insufficient sample,10.0,Missing,Missing,"Los Reyes County, Arizona. Leland, a retired lawman, works with Wallace, the new sheriff who replaces him, when a vicious hit man, sent by a Mexican drug cartel, threatens their border small town."
27405,Convenience,2015,Missing,Missing,insufficient sample,10.0,Missing,Missing,"Film follows two friends attempting to rob a petrol station, but are so useless that they end up working there all night."
27406,A Sunday Kind of Love,2016,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing,"A struggling writer meets death and falls in love. He must decide if his true love is in this world or the next, and if his dreams of success are worth dying for."
27407,The Body Farm,2011,Missing,Missing,insufficient sample,4.0,Missing,Missing,Dr Eve Lockhart is one of Britain's leading forensic pathologists and runs a state-of-the-art forensic research facility called The Body Farm with her business partner Mike Phillips. Theirs is the only facility in the country using real human body-donors to examine the complex and fascinating journey the body goes through as it decays and returns to the earth.
27408,The Great Gilly Hopkins,2015,insufficient sample,7.0,0.5833333333333334,12.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Wisecracking, gum-chewing 12-year-old Gilly is well known in the foster system. Totally unmanageable, she has stayed with more families than she can remember and has outwitted them all. After all, how can she settle down when her real mother, the beautiful and glamourous Courtney, might be out there waiting for her? When Gilly is sent to live with the Trotters, the weirdest family yet, she isn’t planning to stick around. But cheerful, affectionate Maime Trotter isn’t giving up on Gilly just yet..."
27412,Je te mangerais,2009,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing,"Marie leaves home to study the piano at the conservatory in Lyons. Through lack of money, she is obliged to share an apartment with Emma, a friend of the family who has lived alone since the death of her father. The two young women develop a strange fascination for one another, which soon develops into an intense mutual need..."
27413,Toivon tuolla puolen,2017,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing,A restaurateur befriends a Syrian refugee who  has recently arrived in Finland.
27414,Trumped: Inside the Greatest Political Upset of All Time,2017,Missing,Missing,Missing,Missing,Missing,Missing,"In a behind-the-scenes look at the biggest political upset in recent history, Mark Halperin, John Heilemann and Mark McKinnon offer unprecedented access and never-before-seen footage of candidate Trump, from the primaries through the debates to the dawning realization that the controversial businessman will become the 45th President of the United States."
