,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
27416,Lift me up,2015,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing,"A young lady, who recently lost her mother, faces the challenges of high school and her very strict step-father. Through personal growth, and an amazing dedication to dance, she learns to find the peace and happiness of family."
27418,Proibido Proibir,2007,Missing,Missing,insufficient sample,2.0,Missing,Missing,Three young Brazilian try to help a terminally ill woman who lives in the slums of Rio de Janeiro. Their youthful idealism is shattered with the cruel reality of police brutality.
27419,Safe Harbor,2009,insufficient sample,7.0,Missing,Missing,Missing,Missing,"Doug and Robbie are about to set sail on a long trip when they unexpectedly find themselves foster parenting a group of troubled teenage boys. The experience changes their lives for the better, and they decide to stay in town and run the foster home for boys permanently."
27420,Ozzy,2016,Missing,Missing,insufficient sample,4.0,Missing,Missing,"Ozzy, a friendly, peaceful beagle has his idyllic life turned upside down when the Martins leave on a long and distant trip. There's only one problem: no dogs allowed! Unable to bring their beloved Ozzy along for the ride, they settle on the next best thing, a top-of-the-line canine spa called Blue Creek."
27421,Hickey,2017,Missing,Missing,insufficient sample,1.0,Missing,Missing,"Brilliant but insecure, young Ryan has 24 hours to save the store he hates in order to win the heart of the girl he loves."
27422,Sztuczki,2007,insufficient sample,2.0,insufficient sample,1.0,Missing,Missing,"Six-year-old Stefek challenges fate. He believes that setting a chain of events in motion will help him get closer to his father who left his mother. His sister helps him bribe fate with small sacrifices, but things go wrong and then Stefek tries a very risky trick."
27424,Orpheline,2017,insufficient sample,1.0,Missing,Missing,Missing,Missing,"A young woman who moves to Paris and has a brush with disaster. The grown-up at last, an accomplished woman, who thought she was safe from her own past. Gradually, these characters come together to form a single heroine."
27425,Gong Fu Yong Chun,2010,insufficient sample,2.0,Missing,Missing,Missing,Missing,"Losing her mother at a tender age, Yim Wing Chun (Bai Jing) grew up under the wing of Master Ng Mui (Kara Hui), a fugitive in the end of the Qing dynasty. Inspired by Ng Mui's Shaolin kung fu, the boyish Wing Chun develops a kind of martial arts that would one day be named after her, while she strikes up a romance with righteous businessman Liang Baochou (Yu Shaoqun). When the minions of the Qing government draw near, Wing Chun must break out of their ambush to join Ng Mui in the showdown with Kam Ying (Collin Chou), the evil master who helps the Qing empire hunt down its enemies with his formidable Eagle Claws kung fu!"
27426,Nieve negra,2017,Missing,Missing,Missing,Missing,Missing,Missing,"Accused of killing his brother during adolescence, Salvador lives alone in the middle of Patagonia. Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance."
27428,Je me tue Ã  le dire,2016,Missing,Missing,insufficient sample,1.0,Missing,Missing,A man's hypochondriacal relationship with his mother.
27429,Neal Brennan: 3 Mics,2017,insufficient sample,4.0,Missing,Missing,Missing,Missing,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan."
27430,Devo: Hardcore Live!,2015,Missing,Missing,Missing,Missing,Missing,Missing,"A concert film capturing Devo at the Fox Theatre in Oakland on their 2014 ""Hardcore Tour,"" in which they performed 21 songs written and recorded before they signed with a major record label, many of which had never been performed live. The set is intercut with stories and commentary from the band members, as well as Toni Basil and V. Vale."
27431,Enemy Empire,2013,Missing,Missing,Missing,Missing,Missing,Missing,"Sol, a bold fugitive lost in a dangerous post-apocalyptic desert world, searches for a missing woman named Catherine and her illusive captor, the Nomad King. With enemies at every turn, Sol's only chance of finding Catherine is with the help of a rogue and mysterious wanderer, Cleo."
27432,The Doors - Live at the Bowl '68,2012,Missing,Missing,insufficient sample,2.0,Missing,Missing,"A concert video that captures legendary rock 'n' roll band The Doors at the height of the group's powers.  The legendary rock group, The Doors, were at their musical peak when this concert footage was taken. Filmed live at the Hollywood Bowl in the summer of 1968, Jim Morrison and the band perform an extended version of ""Light My Fire,"" plus ten of their other most love songs, taking a standing room only audience on an aural journey of mystical worlds and psychedelic experiences."
27433,Zappa Plays Zappa,2007,Missing,Missing,Missing,Missing,Missing,Missing,"Zappa Plays Zappa is the name of a concert tour and band led by Dweezil Zappa, the oldest son of the late composer and musician Frank Zappa. The show is a collection of Frank Zappa's rock-oriented compositions from 1960s to 1980s. Features Dweezil on lead guitar, Napoleon Murphy Brock (sax, flute, vocals), drummer/singer Terry Bozzio and electric guitarist Steve Vai."
27434,La vengeance d'une blonde,1994,Missing,Missing,insufficient sample,8.0,Missing,Missing,"An upstanding provincial reporter becomes presenter of the TV news on a commercial network owned by an influential Italian businessman. He soon outgrows his family and neglects them terribly. Investigating a fascist terrorist cell, the reporter's integrity is called into doubt by the police. Soon after, his jealous wife unleashes her wrath live in TV. It goes from bad to worse until his wife's anger brings him back to his senses and back home."
27435,Lazy Eye,2016,insufficient sample,1.0,insufficient sample,2.0,Missing,Missing,"Passions re-ignite and secrets revealed when a graphic designer reconnects with the great, lost love of his life for a weekend tryst at a house in the desert near Joshua Tree."
27436,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,Missing,Missing,0.2727272727272727,22.0,Missing,Missing,"After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to star making love."
27437,Temps,2016,Missing,Missing,insufficient sample,4.0,Missing,Missing,"The comedy follows Jefferson, a ski-bum temp worker, whose singular joy comes from an annual excursion to the slopes with fellow slacker Curtis. But when Jefferson falls for Stephanie, an ambitious go-getter, he is forced to re-evaluate his priorities."
27438,Eine Insel namens Udo,2011,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing,"Udo is invisible - no one ever seems to notice him. He makes the most of it, working as a department store detective and living off other people's lives as they never notice him tagging along. Until he meets the one woman who sees him."
27439,La gabbianella e il gatto,1998,Missing,Missing,Missing,Missing,Missing,Missing,"A seagull is caught by the black tide of a sinking petrol ship. She manages to fly inland and falls down in a garden by a cat. Moribund, she asks the cat to fulfill three promises: that when she lays her egg he must not eat it; that he must take care of it until it hatches; that he would teach the newborn how to fly."
27440,Mine,2016,insufficient sample,2.0,Missing,Missing,Missing,Missing,"After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical toll of the treacherous conditions."
27441,Je ne suis pas un salaud,2016,insufficient sample,1.0,insufficient sample,3.0,Missing,Missing,"Eddie is suffering from no longer living with Karine and their son Noam. One night walking home drunk, he gets mugged and badly injured. Suddenly, Eddie becomes a hero to his son and the victim of a vicious crime to his wife. He is asked to move back home, and is offered a new job. But when Ahmed, the perfect scapegoat for the attack, is charged, the gravitas of his accusation sucks Eddie into an infernal spiral of self-doubt and lies, marking the start of a dangerous freefall."
27442,Third Guest,2016,Missing,Missing,Missing,Missing,Missing,Missing,Sci-fi end of the world drama
27444,La punta del iceberg,2016,Missing,Missing,insufficient sample,5.0,Missing,Missing,"A large, multinational company is badly shaken when three of its employees commit suicide. Sofía Cuevas, one of the company’s top executives, is chosen to prepare an in-house report to try and shed some light on the events."
27445,Lost in Florence,2017,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing,"Eric Lazard is a heartbroken former college football star who gets involved in a dangerous Florentine sport and a local woman, Stephanie, while visiting his cousin Anna, who lives in Italy and teaches the Italian language to foreigners."
27446,Hunter Gatherer,2016,insufficient sample,2.0,Missing,Missing,Missing,Missing,"After a three-year stint in prison, an unreasonably optimistic middle-aged man returns to his stagnant neighborhood to win back his girlfriend only to find that she and his family have done what they always wanted to do — forget he exists."
27447,Bad Kids of Crestview Academy,2017,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing,"It's four years later, and a new group of students has been placed in Saturday detention at the infamous and prestigious Crestview Academy. When Siouxsie, sophomore 'undercrust,' crashes the party to avenge her sister's death, a Saturday detention reserved for the privileged seniors of Crestview Academy turns into a date in hell. It's not long before a naïve pussycat lover, gay drug dealer, smokin' hot preacher's daughter, squeaky-clean senator's son, and the uninvited younger outsider find themselves locked-up in school with no way out, wondering who (or what) has set them up. Hilarity and suspense ensue while each 'bad kid' pits one against the other, and one by one each falls victim to absurdly gruesome 'accidents' while trying to escape."
27448,Come Together,2016,insufficient sample,2.0,insufficient sample,2.0,Missing,Missing,"Lone passengers are traveling to join their loved ones for the Christmas holiday, but winter weather conspires to way-lay them."
27449,Nagai sanpo,2006,Missing,Missing,insufficient sample,2.0,Missing,Missing,A lonely retired girl's High School Principal who's lost his wife to alcoholism moves to an old apartment in a country town. There he forms a relationship with a neglected little neighborhood girl.
27451,The Frontier,2016,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing,"A desperate young woman, on the run from the law, takes a job at a remote desert motel. She quickly discovers the motel's patrons are rendezvousing after a large robbery. With nothing to lose, and all to gain, she hatches a plan to steal their loot."
27454,Couple in a Hole,2016,Missing,Missing,insufficient sample,4.0,Missing,Missing,A middle-aged couple who have renounced civilization to live in a cave in the woods are befriended by a local farmer with mysterious ulterior motives.
27456,Tashi and the Monk,2015,Missing,Missing,insufficient sample,2.0,Missing,Missing,"This moving documentary profiles a former Buddhist monk who runs a home for orphaned children in the Himalayas, and his relationship with its newest arrival, troubled five-year-old Tashi."
27457,Uncle Kent 2,2016,insufficient sample,1.0,insufficient sample,7.0,Missing,Missing,"In a desperate search to create a follow-up to Joe Swanberg's 2011 film Uncle Kent, Kent Osborne travels to a comic book convention in San Diego where he loses his mind and confronts the end of the world."
27458,Das Attentat - Sarajevo 1914,2014,insufficient sample,1.0,insufficient sample,4.0,Missing,Missing,"The events in Sarajevo in June 1914 are the backdrop for a thriller directed by Andreas Prochaska and written by Martin Ambrosch, focusing on the examining magistrate Dr. Leo Pfeffer (Florian Teichtmeister) investigating the assassination of Archduke Franz Ferdinand. Trying to do his job in a time of lawlessness and violence, intrigues and betrayal, Leo struggles to maintain his integrity and save his love, Marija, and her father, prominent Serbian merchant. But the events of Sarajevo have set into motion an inescapable course of events that will escalate to become … the Great War."
27460,King of the Belgians,2016,Missing,Missing,insufficient sample,2.0,Missing,Missing,"The King of the Belgians is on a state visit in Istanbul when his country falls apart. He must return home at once to save his kingdom. But a solar storm causes airspace and communications to shut down. No planes. No phones. With the help of a British filmmaker and a troupe of Bulgarian folk singers, the King and his entourage manage to escape over the border. Incognito. Thus begins an odyssey across the Balkans during which the King discovers the real world - and himself."
27463,Tykho Moon,1996,insufficient sample,2.0,insufficient sample,10.0,Missing,Missing,"The McBee family has erected a government over a future 'colony', that looks like a run-down Paris divided into sectors by the Berlin Wall. All male family members suffer from a mysterious disease and are in urgent need of organ transplants. The perfect donor, Tykho Moon, probably has been killed in a fire, but according to rumours he's still alive. Although assassins stalk the family members, the McBees start a hunt for Tykho. Trying to escape the dragnet, Alex, a sculptor, meets Lena, a killer posing as a whore."
27467,Innsaei,2016,Missing,Missing,Missing,Missing,Missing,Missing,"A story of soul searching, science, nature and creativity, InnSæi takes us on a global journey to uncover the art of connecting within in today's world of distraction and stress."
27468,Flight of the Butterflies,2012,insufficient sample,5.0,insufficient sample,5.0,Missing,Missing,"It takes two or three generations for the monarch butterfly to reach the Canadian breeding grounds, but it is one ""supergeneration"" that makes the 2,000 mile return trip back south into central Mexico. The documentary film covers Dr Fred Urquhart's interest in monarch butterflies, with perspectives of Urquhart as a child wondering where the butterflies went, his years of research and study into their life and migration, to his time decades-later as a senior scientist looking back at his investigations and discoveries about the insect's life pattern."
27469,Jimi Hendrix: Voodoo Child,2010,Missing,Missing,insufficient sample,2.0,Missing,Missing,"Seattle, WA EMP brings viewers inside the ground-breaking story of one man, his music and the world that embraced him with the two-hour documentary special ""Jimi Hendrix Voodoo Child,"""
27470,Sex in the Comix,2012,Missing,Missing,insufficient sample,3.0,Missing,Missing,"Documentary exploring the colorful history of the erotic comic strip, including its current comeback and controversial place in society."
27471,SampleThis,2013,Missing,Missing,insufficient sample,2.0,Missing,Missing,"A documentary that reveals how a forgotten record by the Incredible Bongo Band helped cement the foundation of hip hop when DJ Herc extended its percussion by playing them back to back, creating an anthem on the streets of the Bronx."
27472,Pink,2016,insufficient sample,1.0,insufficient sample,4.0,Missing,Missing,"Deepak is a lawyer suffering from bipolar disorder who experiences frequent mood swings. One night, Rajveer and his friends get drunk and try to molest Miss Arora and her two roommates leading to an accident. The film revolves around how Deepak fights the girls' case against these influential boys."
27475,To Stay Alive - A Method,2016,Missing,Missing,Missing,Missing,Missing,Missing,Iggy Pop reads and recites Michel Houellebecq’s manifesto. The documentary features real people from Houellebecq’s life with the text based on their life stories.
27476,Sulanga Enu Pinisa,2006,Missing,Missing,insufficient sample,2.0,Missing,Missing,A home-guard serviceman assigned the task of standing watch over a barren no-man's-land begins to experience an existential crisis after years of lonely service.
27478,Floyd Norman: An Animated Life,2016,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing,"Animator. Storyman. Troublemaker. At 80 years old, see how Disney Legend Floyd Norman, the first African-American animator at Disney, continues to impact animation and stir up ""trouble"" after the company forced him to retire at age 65."
27479,Fever Lake,1996,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing,"A group of teenagers drives to ""Fever Lake"" to spend the weekend in a cursed house near the lake despite warnings from the locals."
27480,Ukkili kamshat,2014,Missing,Missing,Missing,Missing,Missing,Missing,"25 year-old John, his teenage brother Erbol, and their sickly 12 year-old sister Aliya, are forced to leave their house in the Kazakh city of Almaty. By luck their mother left them a house in a remote village, where they plan to prepare their comeback. But the house appears to be on the wish list of the District Officer’s alcoholic brother, who has lived there illegally for 10 years."
27481,Heil,2015,insufficient sample,4.0,0.3125,32.0,Missing,Missing,An African-German Author loses his memory and is used by a modern National Socialist Party as promotion-figure for more political power over Germany.
27482,Smetto quando voglio: Masterclass,2017,Missing,Missing,0.09090909090909091,11.0,Missing,Missing,Pietro Zinni is asked by the police to revive the old gang to create a task force that will stop the spread of smart drugs.
27483,American Sharia,2015,Missing,Missing,Missing,Missing,Missing,Missing,"Fast paced, action packed comedy. Tension flares in The Motor City as Officer Richardson profiles every Muslim he sees as a terrorist. He goes on an arrest frenzy, which makes the community activists, Jihad and Osama take to the streets and rally the people to stand up for their rights. The Chief of Police wants to gain the trust of the Muslim community in order to get re-elected, but Attorney Leila Rodriguez is standing in the way with a discrimination law suit against Officer Richardson and the Motor City Police Department. The Chief calls on his most unreliable detective, Mohammed and partners him with a Middle Eastern, Sharia Law fanatic, Detective Abdul. The Chief wants them to ""Speak Muslim To The Muslims"" which he thinks will guarantee his re-election.  - Written by Omar Regan"
27484,Secrets In The Snow,2013,Missing,Missing,insufficient sample,2.0,Missing,Missing,"On this particular Friday morning the students of Eastbrook High are arriving at school to complete their final exams before the Christmas Holiday. But what began as a December snowfall quickly becomes a threatening winter storm, and school is dismissed for the day. The students who are unable to arrange transportation before the storm grows are forced to remain in the school gym. The six familiar strangers are the only students remaining as the outdoor conditions worsen and the doors are locked. Wills are tested, friendships are created, and secrets are revealed as they realize they must rely on each other to make it through the night."
27485,Shepherds and Butchers,2017,insufficient sample,6.0,insufficient sample,7.0,Missing,Missing,A lawyer takes on a case of a prison guard in South Africa who is traumatized by the executions he's witnessed.
27489,Sheng Xia Guang Nian,2006,Missing,Missing,insufficient sample,3.0,Missing,Missing,Three high school students experience the perks and pitfalls of love in director Leste Chen’s sensitive tale of friendship and yearning.
27491,In Dubious Battle,2017,insufficient sample,6.0,Missing,Missing,Missing,Missing,"In the California apple country, 900 migratory workers rise 'in dubious battle' against the landowners. The group takes on a life of its own—stronger than its individual members, and more frightening. Led by the doomed Jim Nolan, the strike is founded on his tragic idealism—'courage, never submit, or yield'."
27494,Berlin Syndrome,2017,insufficient sample,8.0,insufficient sample,5.0,1,"There are two or more women in this movie, but they don't talk to each other",A passionate holiday romance leads to an obsessive relationship when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.
27497,Lemonade,2016,insufficient sample,5.0,insufficient sample,8.0,Missing,Missing,"The second ""visual album"" (a collection of short films) by Beyoncé, this time around she takes a piercing look at racial issues and feminist concepts through a sexualized, satirical, and solemn tone."
27498,Peter and the Farm,2016,insufficient sample,3.0,Missing,Missing,Missing,Missing,"Peter Dunning is a rugged individualist in the extreme, a hard-drinking loner and former artist who has burned bridges with his wives and children and whose only company, even on harsh winter nights, are the sheep, cows, and pigs he tends on his Vermont farm. Peter is also one of the most complicated, sympathetic documentary subjects to come along in some time, a product of the 1960s counterculture whose poetic idealism has since soured. For all his candor, he slips into drunken self-destructive habits, cursing the splendors of a pastoral landscape that he has spent decades nurturing."
27500,Furiant,2015,Missing,Missing,Missing,Missing,Missing,Missing,"A twisted gay romance set in the 19th Century picturesque Bohemia telling a tabooed true story of birth of one of the nation's most influential writers, starring Julius Feldmeier. Suspense, laughter, violence, hope, heart, nudity, sex and a happy ending—mostly a happy ending."
27501,Boys Love Gekijouban,2007,Missing,Missing,Missing,Missing,Missing,Missing,"Aoi, a young teacher with striking good looks, has just learned that his newest student Sora is the alluring teen prostitute he once hired. Here the nightmare begins. As the walls of the prestigious academy become a percolating hotbed of sexual intrigue, prostitution and blackmail, other students, including Sora's nerdy roommate and the sinister campus bully, are pulled down the same torrid path of unquenchable desire toward the inevitable moment when obsession turns deadly."
27502,Dukhtar,2014,insufficient sample,1.0,Missing,Missing,Missing,Missing,"In the mountains of Pakistan, a mother and her ten-year-old daughter flee their home on the eve of the girl's marriage to a tribal leader. A deadly hunt for them begins."
27503,Oriented,2015,Missing,Missing,Missing,Missing,Missing,Missing,Documentary of three gay men living in the Palestine-Israel region trade reflections on their situation and that of the region they live.
27505,When Hari Got Married,2013,Missing,Missing,Missing,Missing,Missing,Missing,"Age-old customs and traditions collide with a rapidly modernizing India when Hari, a small-town taxi driver, has an arranged marriage to a girl he has never met"
27506,Bellas de noche,2016,Missing,Missing,insufficient sample,2.0,Missing,Missing,"What happened to those vedettes who represented the mexican cabaret’s exotic beauty in the ‘70s and ‘80s? Four decades after the end of their roles, they tell their stories with dignity."
27507,Trudell,2005,insufficient sample,7.0,insufficient sample,5.0,Missing,Missing,"Trudell is a 2005 documentary film about the life of author and American Indian activist John Trudell. The film traces Trudell from his childhood in Omaha, Nebraska, to his role in the American Indian Movement, and finally to his rebirth as a musician and spoken word poet."
27508,October 1,2014,Missing,Missing,insufficient sample,1.0,Missing,Missing,"Its September 1960, and with Nigeria on the verge of independence from British colonial rule, a northern Nigerian Police Detective, DAN WAZIRI, is urgently despatched by the Colonial Government to the trading post town of Akote in the Western Region of Nigeria to solve a series of female murders that have struck horror in the hearts and minds of the local community. On getting to Akote, more murders are committed, and with local tension high and volatile, Waziri has a race on his hands to solve the case before even more local women are killed. Set against the backdrop of the national celebratory mood of the impending independence, Waziri is pulled into a game of cat and mouse as he and the killer try to outwit each other..."
27509,Faith Connections,2013,insufficient sample,1.0,Missing,Missing,Missing,Missing,A filmmaker's insight into the biggest gathering on earth -the Kumbh Mela.
27511,All This Panic,2017,Missing,Missing,Missing,Missing,Missing,Missing,"Shot over a three-year period with unparalleled intimacy and access, ALL THIS PANIC is a feature length documentary that takes an intimate look at the interior lives of a group of teenage girls as they come of age in Brooklyn. A potent mix of vivid portraiture and vérité, we follow the girls as they navigate the ephemeral and fleeting transition between childhood and adulthood."
27513,Flex Is Kings,2013,Missing,Missing,Missing,Missing,Missing,Missing,"Journey to the edge of Brooklyn and of street performance itself in this sparkling portrait of the freeing power of art. Reem is the savvy promoter, Flizzo the undefeated local legend, Jay Donn the innovator with the talent to carry him far away from home. Uniting them is a competitive dance form of dramatic contortions, simulated violence, flowing footsteps and the occasional humorous touch. Welcome to the world of Flex."
27517,Dear God No!,2011,Missing,Missing,Missing,Missing,Missing,Missing,A gang of outlaw bikers pull a home invasion on a disgraced Anthropologist hiding a secret locked in his cabin basement.
27518,Edgar Allan Poe's Lighthouse Keeper,2016,Missing,Missing,Missing,Missing,Missing,Missing,"Marooned on a remote peninsula and haunted by frightening specters, a young man must confront the grotesque denizens of the night, or heed the Lighthouse Keeper's cryptic warning to, 'Always keep a light burning!'"
27519,Even Lambs Have Teeth,2015,insufficient sample,3.0,insufficient sample,6.0,Missing,Missing,Two young women terrorized by a group of small town psychos seek revenge on their tormentors.
27520,The Origin of Stitch,2005,Missing,Missing,Missing,Missing,Missing,Missing,"Stitch discovers Jumba’s secret computer that reveals what creatures Jumba had used to create Stitch, and also hints at his other 625 experiments. Stitch is scared to find out what a monster he is, only for Jumba to come and explain how he found love when he met Lilo."
27521,Youth in Oregon,2017,insufficient sample,4.0,insufficient sample,8.0,Missing,Missing,"A man is tasked with driving his embittered 80-year-old father-in-law cross country to be legally euthanized in Oregon, while along the way helping him rediscover a reason for living."
27529,Yami no kodomo-tachi,2008,Missing,Missing,insufficient sample,4.0,Missing,Missing,"A Middle-aged Japanese ex-pat journalist investigates child organ trafficking in Thailand and he uncovers a sinister network. In the darkest corners of Thailand, child prostitution and organ sales flourish. In order to save a child's life, another life must be taken. An outraged Japanese journalist and a passionate young Japanese NGO member attempt to save ""children of the dark"" from being consumed by arrogance and greed. However, the harsh realities of life intervene... Adapting Yan Sogil's book, which unflinchingly portrays the tragic realities unfolding today, filmmaker Junji Sakamoto directs a talented multinational cast to bring these stark events to life."
27536,L'Homme de Chevet,2009,Missing,Missing,insufficient sample,5.0,Missing,Missing,"Muriel is beautiful, free-spirited and bed-ridden since a horrific accident. Leo is a drunk middle-aged ex-boxer. Desperate for work and unqualified, he interviews for Muriel, who hires him to cook and care for her against her better judgment. Initially out of his depth, Leo slowly wins Muriel's trust. As Muriel teaches him to read, he forces her to confront the joys beyond her window."
27538,Pornography: A Thriller,2009,insufficient sample,4.0,insufficient sample,6.0,Missing,Missing,A Thriller weaves together three different but curiously related stories centering on the mysterious disappearance of quintessential “boy-next-door” porn star Mark Anton.
27539,Song to Song,2017,0.3125,16.0,Missing,Missing,Missing,Missing,"In this modern love story set against the Austin, Texas music scene, two entangled couples — struggling songwriters Faye and BV, and music mogul Cook and the waitress whom he ensnares — chase success through a rock ‘n’ roll landscape of seduction and betrayal."
27540,To the Bone,2017,insufficient sample,7.0,0.8095238095238095,21.0,Missing,Missing,A young woman dealing with anorexia meets an unconventional doctor who challenges her to face her condition and embrace life.
27541,Girlfriend's Day,2017,insufficient sample,4.0,Missing,Missing,Missing,Missing,"In a city where greeting card writers are celebrated like movie stars, Romance writer Ray used to be the king. In trying to recapture the feelings that once made him the greatest, he gets entangled in a web of murder and deceit as writers vie to create the perfect card for a new holiday: Girlfriend's Day."
27542,To Walk Invisible,2016,insufficient sample,2.0,insufficient sample,8.0,Missing,Missing,"To Walk Invisible takes a new look at the extraordinary Brontë family, telling the story of these remarkable women who, despite the obstacles they faced, came from obscurity to produce some of the greatest novels in the English language."
27544,Higglety Pigglety Pop! or There Must Be More to Life,2010,insufficient sample,5.0,insufficient sample,6.0,Missing,Missing,"Jennie the terrier has everything a dog could ever wish for, but still feels that something is missing. She leaves home to discover what that is."
27545,The Up in Smoke Tour,2000,insufficient sample,2.0,insufficient sample,8.0,Missing,Missing,"The Up in Smoke Tour is a West Coast hip hop tour in 2000 featuring artists Ice Cube, Eminem, Proof, Snoop Dogg, Dr. Dre, Nate Dogg, Kurupt, D12, MC Ren, Westside Connection, Mel-Man, Tha Eastsidaz, Doggy's Angels, Devin The Dude, Warren G, TQ, Truth Hurts and Xzibit."
27547,American Fable,2017,Missing,Missing,insufficient sample,9.0,Missing,Missing,"When 11-year-old Gitty discovers that her father, Abe, a good and beloved farmer, is holding a wealthy man hostage in their abandoned silo in order to save their suffering farm, she befriends the captive in secret. As the truth unfolds about who he is and what will happen if he escapes, Gitty chooses to confront the thin line between reality and fiction."
27548,F. est un salaud,1998,insufficient sample,1.0,Missing,Missing,Missing,Missing,"A 15 year old boy (Beni) falls in love with Fögi, a singer in a Rock band. As Fögi seduces him, he is only willing to follow him where ever Fögi wants to. But Fögi is a drug addict and pulls Beni deeper and deeper into the hell of drug addiction."
27549,You Can't Kill Stephen King,2012,Missing,Missing,insufficient sample,1.0,Missing,Missing,"Siblings Monroe (Monroe Mann) and Hilary (Crystal Arnette) have discovered that they have inherited a lake house and to make things even better, the famous horror author Stephen King is rumoured to live somewhere nearby. They decide to take their friends down to the lake house to check things out, only to find immediate resistance from all of the locals, who insist that King doesn't live in the area. Despite being completely unwelcome, they decide to stay and soon find that people are being killed one by one in a manner similar to several deaths in various Stephen King stories."
27551,Katherine Ryan: In Trouble,2017,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Stand-up comic Katherine Ryan reminisces about unusual relationships, aging, Taylor Swift, life in the hometown she hates and the time she enraged an entire nation."
