title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
à®ªà¯�à®¤à¯�à®ªà¯�à®ªà¯‡à®Ÿà¯�à®Ÿà¯ˆ,2006,insufficient sample,5.0,Missing,Missing,Missing,Missing
The Special Need,2013,Missing,Missing,Missing,Missing,Missing,Missing
La mafia uccide solo d'estate,2013,insufficient sample,3.0,insufficient sample,5.0,Missing,Missing
DespuÃ©s de LucÃ­a,2012,Missing,Missing,insufficient sample,3.0,Missing,Missing
A Fierce Green Fire,2013,Missing,Missing,insufficient sample,4.0,Missing,Missing
Misery Loves Comedy,2015,insufficient sample,3.0,0.10909090909090909,55.0,Missing,Missing
S#x Acts,2012,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing
Song One,2014,insufficient sample,8.0,insufficient sample,4.0,Missing,Missing
Vessel,2014,insufficient sample,1.0,Missing,Missing,Missing,Missing
The Lionâ€™s Mouth Opens,2014,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
Maqbool,2003,insufficient sample,4.0,insufficient sample,6.0,Missing,Missing
à´•à´¥à´¾à´ªàµ�à´°àµ�à´·àµ»,1996,insufficient sample,3.0,Missing,Missing,Missing,Missing
Convict,2014,insufficient sample,1.0,insufficient sample,2.0,Missing,Missing
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,2014,Missing,Missing,insufficient sample,6.0,Missing,Missing
La religieuse,2013,insufficient sample,5.0,Missing,Missing,Missing,Missing
SÃ¼gis,1990,Missing,Missing,insufficient sample,5.0,Missing,Missing
Dragon Hill. La colina del dragÃ³n,2002,Missing,Missing,Missing,Missing,Missing,Missing
The Last Outlaw,1993,insufficient sample,2.0,Missing,Missing,Missing,Missing
Flight World War II,2015,insufficient sample,8.0,insufficient sample,2.0,Missing,Missing
Elavad pildid,2013,Missing,Missing,Missing,Missing,Missing,Missing
Tony 10,2012,Missing,Missing,insufficient sample,2.0,Missing,Missing
Magnus,2007,insufficient sample,2.0,Missing,Missing,Missing,Missing
Orps: The Movie,2009,Missing,Missing,insufficient sample,2.0,Missing,Missing
Min sÃ¸sters bÃ¸rn i Afrika,2013,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Kirsitubakas,2014,Missing,Missing,insufficient sample,1.0,Missing,Missing
Dungeons & Dragons: Wrath of the Dragon God,2005,insufficient sample,6.0,insufficient sample,4.0,Missing,Missing
Ruudi,2006,insufficient sample,1.0,Missing,Missing,Missing,Missing
DeÅ¡Å¥ovÃ¡ vÃ­la,2010,Missing,Missing,Missing,Missing,Missing,Missing
Vasaku jala reede,2012,Missing,Missing,Missing,Missing,Missing,Missing
Freerunner,2011,insufficient sample,4.0,insufficient sample,9.0,Missing,Missing
Hier kommt Lola,2010,insufficient sample,2.0,Missing,Missing,Missing,Missing
Bananot LaEurovision,2013,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Enter the Dangerous Mind,2013,Missing,Missing,insufficient sample,6.0,Missing,Missing
El Inventor de Juegos,2014,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
ØªØ§Ú©Ø³ÛŒ,2015,insufficient sample,4.0,Missing,Missing,Missing,Missing
Conagher,1991,Missing,Missing,Missing,Missing,Missing,Missing
