title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Court,2015,Missing,Missing,Missing,Missing,Missing,Missing
The Secret Lives of Dorks,2013,Missing,Missing,0.5333333333333333,15.0,Missing,Missing
Run & Jump,2014,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
A Fighting Man,2014,insufficient sample,2.0,Missing,Missing,Missing,Missing
Dom ̦ver d̦d man,2012,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
When Comedy Went to School,2013,Missing,Missing,Missing,Missing,Missing,Missing
Jimmy P.,2013,insufficient sample,5.0,insufficient sample,8.0,Missing,Missing
Call + Response,2008,Missing,Missing,Missing,Missing,Missing,Missing
Spijt!,2013,Missing,Missing,insufficient sample,2.0,Missing,Missing
Yasmin,2004,Missing,Missing,insufficient sample,7.0,Missing,Missing
Bluebird,2014,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
One Little Pill,2014,insufficient sample,1.0,Missing,Missing,Missing,Missing
The Dead Lands,2014,insufficient sample,5.0,insufficient sample,3.0,Missing,Missing
