,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_desc,bechdel_score,synopsis
435,Dave,1993,0.17647058823529413,17.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Bill Mitchell is the philandering and distant President of the United States. Dave Kovic is a sweet-natured and caring Temp Agency operator, who by a staggering coincidence looks exactly like the President. As such, when Mitchell wants to escape an official luncheon, the Secret Service hires Dave to stand in for him. Unfortunately, Mitchell suffers a severe stroke whilst having sex with one of his aides, and Dave finds himself stuck in the role indefinitely. The corrupt and manipulative Chief of Staff, Bob Alexander, plans to use Dave to elevate himself to the White House - but unfortunately, he doesn't count on Dave enjoying himself in office, using his luck to make the country a better place, and falling in love with the beautiful First Lady..."
436,Dazed and Confused,1993,0.16666666666666666,6.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge."
437,Demolition Man,1993,Missing,Missing,0.1111111111111111,18.0,Fewer than two women in this movie,0,"Simon Phoenix, a violent criminal cryogenically frozen in 1996, escapes during a parole hearing in 2032 in the utopia of San Angeles. Police are incapable of dealing with his violent ways and turn to his captor, who had also been cryogenically frozen after being wrongfully accused of killing 30 innocent people while apprehending Phoenix."
438,The Endless Summer 2,1994,Missing,Missing,Missing,Missing,Missing,Missing,"Bruce Brown, king of surfing documentaries, returns after nearly thirty years to trace the steps of two young surfers to top surfing spots around the world. Along the way we see many of the people and locales Bruce visited during the filming of Endless Summer (1966)."
439,Even Cowgirls Get the Blues,1994,0.375,16.0,0.4666666666666667,15.0,Missing,Missing,"Sissy Hankshaw is born with enormous thumbs that help her hitchhiking through the US from a young age.  She becomes a model in advertising and her NY agent 'the Countess' sends her to his ranch in CA to shoot a commercial, set against the background of mating whooping cranes.  There, she befriends Bonanza Jellybean, one of the cowgirls at the beauty- ranch."
440,Fatal Instinct,1993,0.14285714285714285,7.0,Missing,Missing,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",3,"A spoof of the late 80s and early 90s suspense thrillers and murder mysteries, including Basic Instinct, Sleeping With The Enemy, Cape Fear and others. A cop/attorney (yes he's both) is seduced by a woman while his wife is having an affair with a mechanic. Lots of other sublots and visual gags in the style of Naked Gun."
442,The Favor,1994,0.4166666666666667,12.0,insufficient sample,7.0,Missing,Missing,"Kathy is married to Peter. Now she can't help but wonder how things could have been if she got together with her old boyfriend, Tom. Being married prevents from doing that so she asks her friend, Emily to go to him and see if she can sleep with him then tell Kathy how it was. When Emily tells Kathy that things were awesome, their friendship suffers, at the same so does Kathy's marriage. Things get even more complicated when Emily learns she's pregnant, and she's not certain if it's Tom's or her boyfriend, Elliot."
443,Fearless,1993,0.3333333333333333,18.0,Missing,Missing,Missing,Missing,"After a terrible air disaster, survivor Max Klein emerges a changed person. Unable to connect to his former life or to wife Laura, he feels godlike and invulnerable. When psychologist Bill Perlman is unable to help Max, he has Max meet another survivor, Carla Rodrigo, who is racked with grief and guilt since her baby died in the crash which she and Max survived."
444,Fear of a Black Hat,1994,0.0,2.0,insufficient sample,6.0,Missing,Missing,"Chronicling the controversial career of bad boys N.W.H. (Niggaz With Hats), this uproarious 'mockumentary' lampoons all of hardcore rap's hot-button issues. This underground laugh riot recounts the rise, fall and resurrection of a clueless bunch of would-be rappers, Ice Cold, Tone-Def &amp; Tasty Taste performing as N.W.H."
445,With Honors,1994,0.375,8.0,Missing,Missing,Missing,Missing,"Convinced he'll graduate with honors because of his thesis paper, a stuffy Harvard student finds his paper being held hostage by a homeless man, who might be the guy to school the young man in life."
446,Flesh and Bone,1993,0.0,2.0,insufficient sample,9.0,Missing,Missing,"Some thirty years after Arlis witnesses his father murdering a family, he runs into Kay, who happens to be the family's baby who was spared. Kay and Arlis suspect nothing about each other, but when his father returns, old wounds are reopened."
447,Widows' Peak,1994,0.0,1.0,Missing,Missing,Missing,Missing,Scandal and mystery reign following the arrival of Edwina in a small Irish town populated entirely by widows. Edwina quickly falls out with the locals while also falling in with the son of the community's leader
448,For Love or Money,1993,0.07142857142857142,14.0,0.3333333333333333,12.0,Missing,Missing,"New York concierge Doug Ireland wants to go into business for himself and refurbish a hotel on Roosevelt Island, N.Y., but he needs an investor. With a few weeks left before his option on the site runs out, Doug agrees to help wealthy Christian Hanover conceal his affair with salesgirl Andy Hart from his wife. Despite his own attraction to Andy, Doug tries to stay focused on getting Christian to invest $3 million in his project."
449,The Firm,1993,0.11764705882352941,17.0,0.19047619047619047,21.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan..."
450,Free Willy,1993,0.4444444444444444,9.0,insufficient sample,10.0,Missing,Missing,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them."
451,Fresh,1994,0.2,10.0,Missing,Missing,Missing,Missing,"Michael is a 12-year-old drug pusher who lives in a crowded house with his cousins and aunt. His father has become a street bum,but still meets with Fresh on occasion to play chess. Fresh is rather quiet in a crazy world. Fresh's sister is a junkie who sleeps with the dealers that Fresh sells for. As the story progresses Fresh realizes that he doesn't want to sell drugs anymore - he wants revenge."
452,The Fugitive,1993,0.14285714285714285,21.0,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Kimble leads the marshals through a series of intricate chases, he uncovers the secret behind his wife's death and struggles to expose the killer before he is recaptured, or killed."
453,Geronimo: An American Legend,1993,0.09090909090909091,22.0,0.0,24.0,Missing,Missing,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, whi"
454,The Getaway,1994,0.15384615384615385,13.0,insufficient sample,10.0,Missing,Missing,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison."
455,Getting Even with Dad,1994,0.0,3.0,Missing,Missing,Missing,Missing,"Ray, an ex-con and widower, is planning a coin heist with two accomplices to help him to buy his own bakery. However, he doesn't expect his son Timmy, who was living with Ray's sister, to show up at the house right in the middle of planning. Timmy is ignored and Ray and his buddies pull off the heist. Timmy gets his father's attention by stealing the coins and hiding them. To get them back, his father must take him to a number of different places and treat him like he enjoys his presence. They grow fond of each other but Timmy won't stay with his dad unless he gives up the coins."
457,A Good Man in Africa,1994,0.0,2.0,insufficient sample,6.0,Missing,Missing,"Morgan Leafy is a secretary to the British High Commissioner to an Africa nation. Leafy is a man that makes himself useful to his boss, the snobbish Arthur Fanshawe, who has no clue about what's going on around him, but who wants to use his secretary to carry on his dirty work, which involves getting one of the most powerful men in the country to do business with his country.The young secretary has an eye for beautiful women around him, especially Hazel, a native beauty, with whom he is having an affair. Things get complicated because Sam Adekunle, a man running for president of the country, wants a favor from Leafy in return after he has accepted the invitation to visit London. The proposition involves swaying a prominent doctor's opposition to a plan that will make Adenkule filthy rich."
458,Guilty as Sin,1993,0.0,6.0,Missing,Missing,Missing,Missing,"Before a criminal lawyer knows what has happened, she is forced to defend a wife killer she knows is guilty."
459,Hard Target,1993,0.23529411764705882,17.0,0.2727272727272727,11.0,Missing,Missing,"When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation."
461,Hot Shots! Part Deux,1993,0.08333333333333333,12.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm."
463,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,0.4166666666666667,12.0,insufficient sample,10.0,Missing,Missing,"When an English cartographer arrives in Wales to tell the residents of the Welsh village of Ffynnon Garw  that their 'mountain' is only a hill, the offended community sets out to remedy the situation."
464,The House of the Spirits,1993,0.36363636363636365,11.0,0.5454545454545454,11.0,Missing,Missing,"A rancher, his clairvoyant wife and their family face turbulent years in South America."
465,House Party 3,1994,0.0,2.0,Missing,Missing,Missing,Missing,"Hip Hop duo Kid &amp; Play return in the second follow-up to their 1990 screen debut House Party. Kid (Christopher ""Kid"" Reid) is taking the plunge and marrying his girlfriend Veda (Angela Means), while his friend Play (Christopher Martin) is dipping his toes into the music business, managing a roughneck female rap act called Sex as a Weapon. Play books the ladies for a concert with heavy-hitting pr"
466,The Hudsucker Proxy,1994,0.0,6.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.
467,I'll Do Anything,1994,0.25,12.0,Missing,Missing,Missing,Missing,"Matt Hobbs is a talented but unsuccessful actor. When estranged (and strange) ex-wife Beth dumps their daughter Jeannie on Matt, father and daughter have a lot of adjusting to do. His budding relationship with attractive production assistant Cathy Breslow is made complicated, while the precocious child is overly accustomed to getting her own way. Matt eventually faces the choice of family vs career in a particularly difficult way."
468,In the Army Now,1994,0.2222222222222222,18.0,insufficient sample,6.0,Missing,Missing,"Bones Conway and Jack Kaufman didn't really know what they were in for when they enlisted in the U.S. Army; they just wanted to get a job and make some money. But these new recruits are so hapless, they run the risk of getting kicked out before their military careers even begin. Soon, though, they're sent to the Middle East to fight for their country -- which they manage to do in their own wacky ways."
469,In the Line of Fire,1993,0.375,24.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past."
470,In the Name of the Father,1993,Missing,Missing,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence."
471,The Inkwell,1994,Missing,Missing,insufficient sample,9.0,Missing,Missing,The Inkwell is about a 16-year-old boy coming of age on Martha's Vineyard in the summer of 1976.
472,What's Love Got to Do with It,1993,0.5,2.0,Missing,Missing,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",3,A film about the singer Tina Turner and how she rose to stardom with her abusive husband Ike Turner and how she gained the courage to break free.
