,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_desc,bechdel_score,synopsis
389,Coldblooded,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing,"Cosmo, an affectless mob bookie who lives in the basement of a retirement home, is promoted to hitman. He learns his new trade from Steve, a seasoned killer. He falls in love with a yoga teacher, Jasmine, and must figure out a way to leave the mob so they can be together."
391,Fall Time,1995,0.0,1.0,insufficient sample,4.0,Missing,Missing,"Three young men decide to plan a mock kidnapping, but everything goes wrong because a real bank robbery was already planned by two other guys."
393,Frank and Ollie,1995,Missing,Missing,Missing,Missing,Missing,Missing,"Before computer graphics, special effects wizardry, and out-of-this world technology, the magic of animation flowed from the pencils of two of the greatest animators The Walt Disney Company ever produced -- Frank Thomas and Ollie Johnston. Frank and Ollie, the talent behind BAMBI, PINOCCHIO, LADY AND THE TRAMP, THE JUNGLE BOOK, and others, set the standard for such modern-day hits as THE LION KING. It was their creative genius that helped make Disney synonymous with brilliant animation, magnificent music, and emotional storytelling. Take a journey with these extraordinary artists as they share secrets, insights, and the inspiration behind some of the greatest animated movies the world has ever known!"
394,Girl in the Cadillac,1995,0.0,2.0,Missing,Missing,Missing,Missing,"A runaway teenage girl and a drifter rob a bank, hit the road to elude the Texas Rangers and find love on the run."
395,Homage,1995,Missing,Missing,insufficient sample,5.0,Missing,Missing,"The young caretaker at the estate of a reclusive woman develops a dangerous obsession with her daughter, a sexy television star. Unexpected twists and turns."
399,Brother Minister: The Assassination of Malcolm X,1995,Missing,Missing,Missing,Missing,Missing,Missing,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ..."
400,Highlander III: The Sorcerer,1994,0.0,4.0,Missing,Missing,Missing,Missing,"Starts off in the 15th century, with Connor McLeod (Christopher Lambert) training with another immortal swordsman, the Japanese sorcerer Nakano (Mako). When an evil immortal named Kane (Mario Van Peebles) kills the old wizard, the resulting battle leaves him buried in an underground cave. When Kane resurfaces in the 20th century to create havoc, it's up to McLeod to stop him."
401,Federal Hill,1995,Missing,Missing,insufficient sample,3.0,Missing,Missing,"In Providence's Italian neighborhood, Federal Hill, five young are immersed in drugs, crime and violence. Everything changes when one of the guys in the band know love."
402,In the Mouth of Madness,1994,0.18181818181818182,11.0,insufficient sample,10.0,"There are two or more women in this movie, but they don't talk to each other",1,"With the disappearance of hack horror writer Sutter Cane, all Hell is breaking loose...literally! Author Cane, it seems, has a knack for description that really brings his evil creepy-crawlies to life. Insurance investigator John Trent is sent to investigate Cane's mysterious vanishing act and ends up in the sleepy little East Coast town of Hobb's End."
403,8 Seconds,1994,0.0,1.0,insufficient sample,6.0,Missing,Missing,"This film chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert."
404,Above the Rim,1994,Missing,Missing,insufficient sample,7.0,Missing,Missing,"Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard."
405,Addams Family Values,1993,0.0,12.0,0.36363636363636365,22.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands."
406,Martin Lawrence: You So Crazy,1994,0.0,2.0,Missing,Missing,Missing,Missing,"Stand up comedy by Martin Lawrence, filmed in the Majestic Theater in New York City. Martin Lawrence talks about everything from racism, to relationships, to his childhood."
407,The Age of Innocence,1993,0.375,8.0,0.5625,16.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Tale of 19th century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin."
408,Airheads,1994,0.2222222222222222,9.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,The Lone Rangers have heavy-metal dreams and a single demo tape they can't get anyone to play. The solution: Hijack an AM rock station and hold the deejays hostage until they agree to broadcast the band's tape.
409,The Air Up There,1994,0.2727272727272727,11.0,Missing,Missing,Missing,Missing,"Jimmy Dolan is a college basketball coach who wants a big promotion. To get it, he needs to make a dramatic find. He ends up deep in Africa, hoping to recruit Saleh, a huge basketball prodigy Jimmy glimpsed in a home movie. But Saleh is the chief's son and has responsibilities at home, since the tribe's land is threatened by a mining company with its own hotshot basketball team."
410,Another Stakeout,1993,0.2857142857142857,7.0,Missing,Missing,Missing,Missing,Chris and Bill are called upon for their excellent surveillance record to stakeout a lakeside home where a Mafia trial witness is believed to be heading or already hiding.
411,Bad Girls,1994,0.2,5.0,insufficient sample,9.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Four former harlots try to leave the wild west (Colorado, to be exact) and head north to make a better life for themselves. Unfortunately someone from Cody's past won't let it happen that easily."
413,Being Human,1994,0.1,10.0,Missing,Missing,Missing,Missing,One man must learn the meaning of courage across four lifetimes centuries apart.
414,The Beverly Hillbillies,1993,0.0,8.0,0.5454545454545454,11.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Jed Clampett and kin move from Arkansas to Beverly Hills when he becomes a billionaire, after an oil strike. The country folk are very naive with regard to life in the big city, so when Jed starts a search for a new wife there are inevitably plenty of takers and con artists ready to make a fast buck"
415,Beverly Hills Cop III,1994,0.07142857142857142,14.0,0.13636363636363635,22.0,Fewer than two women in this movie,0,"Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss."
416,Black Beauty,1994,0.46153846153846156,13.0,0.1111111111111111,18.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life."
418,Blown Away,1994,0.09090909090909091,11.0,Missing,Missing,Missing,Missing,Blown Away tells the story of Jimmy Dove who works for the Boston bomb squad. Shortly after Dove leaves the force his partner is killed by a bomb that Dove thinks might have been made by someone he knows.
419,Blue Chips,1994,0.0,11.0,Missing,Missing,Missing,Missing,"Pete Bell, a college basketball coach is under a lot of pressure. His team isn't winning and he cannot attract new players. The stars of the future are secretly being paid by boosters. This practice is forbidden in the college game, but Pete is desperate and has pressures from all around."
420,Blue Sky,1994,0.3,10.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Hank Marshall is a tough, square-jawed, straitlaced Army engineer and nuclear science expert, assigned to help conduct weapons-testing in 1950's America. Hank has become a thorn in the side of the Army, though, for a couple of very different reasons. He is an outspoken opponent of atmospheric testing, though his superiors hold contrary views and want to squelch his concerns...and his reports. The other problem is his wife, Carly. She is voluptuous and volatile, wreaking havoc in his personal life and stirring up intrigue at each new Army base."
421,Body Snatchers,1993,0.18181818181818182,11.0,insufficient sample,8.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials, he brings his family along for the ride. After arriving at the base, his teenage daughter Marti befriends Jean Platt, daughter of the base's commander, General Platt. When people at the base begin acting strangely, Marti becomes convinced that they are slowly being replaced by plant-like aliens."
422,Boxing Helena,1993,0.3333333333333333,9.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"A top surgeon is besotted with a beautiful woman who once rebuffed him. Unable to come to terms with life without her, he tries to convince her that they need each other. She has other ideas, but a horrific accident leaves her at his mercy."
423,A Bronx Tale,1993,Missing,Missing,Missing,Missing,Missing,Missing,"Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl."
424,Cabin Boy,1994,0.0,3.0,0.23076923076923078,13.0,Missing,Missing,"A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat, and faces the wrath of a crew that considers him bad luck."
425,Calendar Girl,1993,0.0,1.0,Missing,Missing,Missing,Missing,"Like many adolescent boys, Roy Darpinian had the hots for movie divas, and one in particular was his wet dream as half of America's in the 1950s: Marilyn Monroe. The difference is, one summer holiday he actually decided to enlist his spineless buddies, Scott Foreman and Ned Bleuer, to actually drive all the way to Hollywood and make as many desperate attempts as it takes to meet her or get arrested trying, and no setback or embarrassment (even publicly bare-ass) can stop or distract him. Against all odds, he finally even got a chance to help her..."
426,Carlito's Way,1993,0.17647058823529413,17.0,Missing,Missing,Missing,Missing,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC."
427,City Slickers II: The Legend of Curly's Gold,1994,0.0,5.0,Missing,Missing,Missing,Missing,"Mitch Robbins 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately Glen he tries to find the hidden gold of Curly's father in the desert of Arizona."
428,Clean Slate,1994,0.16666666666666666,6.0,Missing,Missing,Missing,Missing,"Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient."
429,Cliffhanger,1993,0.2631578947368421,19.0,0.21428571428571427,14.0,"There are two or more women in this movie, but they don't talk to each other",1,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money."
430,Coneheads,1993,0.09090909090909091,11.0,0.3103448275862069,29.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"With enormous cone-shaped heads, robotlike walks and an appetite for toilet paper, aliens Beldar and Prymatt don't exactly blend in with the population of Paramus, N.J. But for some reason, everyone believes them when they say they're from France."
431,Color of Night,1994,0.16666666666666666,12.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"When New York psychiatrist Bill Capa visits Los Angeles to take over his murdered colleague's therapy group, he finds himself embroiled in the thick of a mystery when he bumps into Rose and begins a torrid affair."
433,The Cowboy Way,1994,0.23076923076923078,13.0,Missing,Missing,Missing,Missing,"Two championship rodeo partners travel to New York to find their missing friend, Nacho Salazar who went missing there."
