,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
26000,Karamazovi,2008,insufficient sample,3.0,insufficient sample,1.0,Missing,Missing,"Dostoevsky’s latter-day opus about the siblings and their father is among the masterpieces of world literature. It asks profound questions about ethics and religion. Is there a God? Does the devil exist? Is everything allowed because we live in a world without morality? And if so, does patricide even constitute a crime?  One of the most interesting adaptations of the material is The Karamazovs by Czech director Petr Zelenka. We witness a group of thesps from Prague on a trip to Krakow in Poland to stage the novel as a play in a derelict steelworks as part of the Closer to Life Festival. The project, however, is born under the bad sign, apparently doomed from the start. When they arrive, the roof is about to cave in, so that the actors are told to wear safety helmets. Their sole consistent audience is a laborer (Andrzej Mastalerz) who rather follows each dress rehearsal than watching over his seven-year-old son who has suffered a tragic accident in the factory."
26002,Planetarium,2016,insufficient sample,8.0,insufficient sample,6.0,Missing,Missing,"Two American sisters, Laura and Kate, perform public seánces in Paris when they meet a French film producer who wants Laura to become in a movie star while gets obsessed with discovering the truth behind Kate's supernatural gift to summon the ghosts."
26003,A Monster Calls,2016,insufficient sample,8.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.
26005,Arrival,2016,Missing,Missing,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious","Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat."
26006,Samurai Rauni Reposaarelainen,2016,Missing,Missing,Missing,Missing,Missing,Missing,"Villagers are afraid of Samurai Rauni Reposaarelainen, who keeps them on their toes every day. When someone places a bounty on Rauni's head, he goes after this mysterious person."
26007,Terminal Invasion,2002,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing,"Aliens in human disguise commandeer a rural airport during a snowstorm. To survive, the people trapped inside must determine which of their own is not of this Earth."
26008,Alien Apocalypse,2005,insufficient sample,2.0,Missing,Missing,Missing,Missing,An astronaut doctor Ivan Hood and his fellow astronaut Kelly return from their mission in space to find the world has been taken over by aliens. Now Dr. Ivan Hood and Kelly must lead a revolution to free the human slaves from their alien masters.
26009,Rumbos,2016,Missing,Missing,insufficient sample,7.0,Missing,Missing,"During a long night of August, some people have different experiences that leave a deep impression in them. Linked by a radio night show, all them cross the city of Barcelona, not knowing that their fates will collide with each other in unexpected ways."
26010,Traceroute,2016,Missing,Missing,Missing,Missing,Missing,Missing,"Artist and life-long nerd Johannes Grenzfurthner is taking us on a personal road trip from the West Coast to the East Coast of the USA, to introduce us to places and people that shaped and inspired his art and politics. Traceroute wants to chase and question the ghosts of nerddom's past, present and future. An exhilarating tour de farce into the guts of trauma, obsession and cognitive capitalism.  Features interviews with Matt Winston, Sandy Stone, Bruce Sterling, Jason Scott, Christina Agapakis, Trevor Paglen, Ryan Finnigan, Kit Stubbs, V. Vale, Sean Bonner, Allison Cameron, Josh Ellingson, Maggie Mayhem, Paolo Pedercini, Steve Tolin, Dan Wilcox, Jon Lebkowsky, Jan ""Varka"" Mulders, Adam Flynn, Abie Hadjitarkhani, Kelly Poots..."
26011,The Lost Arcade,2015,Missing,Missing,Missing,Missing,Missing,Missing,"Chinatown Fair opened as a penny arcade on Mott Street in 1944. Over the decades, the dimly lit gathering place, known for its tic-tac-toe playing chicken, became an institution, surviving turf wars between rival gangs, changing tastes and the explosive growth of home gaming systems like Xbox and Playstation that shuttered most other arcades in the city. But as the neighborhood gentrified, this haven for a diverse, unlikely community faced its strongest challenge, inspiring its biggest devotees to next-level greatness."
26012,Blue Crush 2,2011,Missing,Missing,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Haunted by the memory of her deceased mother, Dana leaves Malibu behind and heads to South Africa to fulfill her mother's dream of surfing Jefferys Bay."
26013,"JÃ¡, Olga HepnarovÃ¡",2016,insufficient sample,1.0,insufficient sample,2.0,Missing,Missing,"Olga is a complex young woman desperate to break free from her unfeeling family and social conventions. With her Louise Brooks-like tomboyish looks she drags herself, chain-smoking, from one job to another until she appears to find her niche as a truck driver. Although she has female lovers she does not form a bond with any of them; instead she clashes, time and again, venting herself in wordless emotional outbursts and other behavioural extremes."
26014,Storks,2016,insufficient sample,9.0,0.25,12.0,Missing,Missing,"Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl..."
26016,The Secret World of Lewis Carroll,2015,Missing,Missing,Missing,Missing,Missing,Missing,"It's a timeless classic of children's literature and the third most-quoted book in English after the Bible and Shakespeare. But what lies behind the extraordinary appeal of Alice's Adventures in Wonderland to generations of adults and children alike? To mark the 150th anniversary of its publication, this film explores the life and imagination of its author, the Reverend Charles Dodgson, better known as Lewis Carroll. Journalist Martha Kearney delves into the biographies of both Carroll himself and of the young girl, Alice Liddell, who inspired his most famous creation. She discusses the book with a range of experts, biographers and distinguished cultural figures - from actor Richard E Grant to children's author Philip Pullman - and explores with them the mystery of how a retiring, buttoned-up and meticulous mathematics don, who spent almost his entire life within the cloistered confines of Christ Church Oxford, was able to capture the world of childhood in such a captivating way."
26017,Zarkorr! The Invader,1996,Missing,Missing,Missing,Missing,Missing,Missing,"An ""average"" postal worker is informed by a tiny alien hologram which looks like a teenage girl that he is the ""choosen one"" to destroy a giant reptile to save the Earth."
26018,Devil's Playground,2010,insufficient sample,7.0,Missing,Missing,Missing,Missing,"As the world succumbs to a zombie apocalypse, Cole - a hardened mercenary - is chasing the one person who can provide a cure. Not only to the plague but to Cole's own incumbent destiny."
26019,Hurok,2016,insufficient sample,1.0,Missing,Missing,Missing,Missing,Drugdealer wants get out of the circle with his pregnant girlfriend and a time loop effect makes it more complicated.
26020,The House of Suh,2010,Missing,Missing,Missing,Missing,Missing,Missing,"The House of Suh” tells the story of Andrew and his sister Catherine, and how the values, conflicts, and dysfunctions of their Korean immigrant family led to the murder of Robert O’Dubaine. Eloquently narrated by Andrew, the documentary highlights issues of assimilation and the struggle between freedom and responsibility, raising questions about guilt, innocence, and the illusive gray area in-between."
26022,Kalashnikov,2014,Missing,Missing,Missing,Missing,Missing,Missing,"35 Cows and a Kalashnikov is a joyously made triptych about warrior-farmers, colorful dandies and voodoo wrestlers in Ethiopia, Brazzaville and Kinshasa. It paints a loving and attentive portrait of African pride and beauty."
26023,Maximum Ride,2016,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Six children genetically cross-bred with avian DNA, complete with wings, take flight around the country to discover their origins."
26024,Radin!,2016,insufficient sample,5.0,Missing,Missing,Missing,Missing,"François Gautier is stingy! Saving puts the joy, it causes pay sweats. His life is set for the sole purpose of never spend anything. A life that will switch in one day: he falls in love and discovers he has a daughter he did not know existed. Forced to lie in order to hide his terrible default, this will be the beginning for François problems. Because lie can sometimes be expensive. Very expensive…"
26025,Money Play$,1998,Missing,Missing,insufficient sample,3.0,Missing,Missing,"When a money mule has a fatal heart attack at a Nevada brothel, the contents of the money vest is hidden by Irene. Her regular customer Johnny is her best bet to be able to retire early."
26026,Auschwitz,2011,insufficient sample,2.0,Missing,Missing,Missing,Missing,Auschwitz is a hard-hitting war film which shows life as it really was at the death camp.
26027,Wolvesbayne,2009,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing,"The film is pretty much a ""by the numbers"" thriller that follows Russel Bayne (London) - who is bitten by a werewolf and quickly finds himself in the middle of a supernatural war between vampires, werewolves, and human hunters. To make matters worse, it seems the vampires are having a civil war with a clan breaking from the others in a quest to return the vampire goddess back to power."
26028,Sieranevada,2016,insufficient sample,2.0,insufficient sample,3.0,Missing,Missing,"Back from a professional trip to Paris, a neurologist at the pinnacle of his career has to pick up his wife so that they can attend a family meal to commemorate his father, who died a year before. At his mother's flat, the guests are waiting for the priest to arrive while arguing about all kinds of things connected and unconnected with the world’s events and wars."
26031,Os Penetras,2012,Missing,Missing,insufficient sample,3.0,Missing,Missing,"""Party Crashers"" chronicles the amusing encounter between Marco Polo (Marcelo Adnet), a Copacabana's trickster, and Beto (Eduardo Sterblitch), a boy passionate and somewhat pixilated, on the New Year's Eve in Rio. Together they crashes at parties and create a lot of confusion in search of the beautiful Laura."
26032,De Pernas Pro Ar 2,2012,insufficient sample,4.0,insufficient sample,3.0,Missing,Missing,"Alice owns a network of sex shops and workaholic who, in trying to reconcile the harsh routine of work and family life, suffers nervous breakdown, she is forced by her husband to go to spa. Precisely at this time, appears unique opportunity to expand its business in New York. Using fun gimmicks, risks his health, leaves spa party there with family to ride, but actually in order to facilitate their professional interests. In trying to reconcile the agendas, engage in hilarious situations and mistakes that culminate in the possible separation of the couple."
26033,Aux yeux de tous,2012,insufficient sample,3.0,Missing,Missing,Missing,Missing,"An anonymous hacker has hacked all of Paris' cameras and observes the city unbeknownst to its inhabitants. Petty crimes and moments of stolen intimacy, he sees everything. Until the day that an explosion lays wasted to the Gare d'Austerlitz. The police starts tracking down an Al Queda satellite group. The hacker succeeds in finding images of the explosion and discovers that it was a young couple who planted the bomb. Using the city's cameras, he decides to hunt down the criminals."
26034,Reis e Ratos,2012,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing,
26037,The Big I Am,2010,insufficient sample,5.0,insufficient sample,10.0,Missing,Missing,"A cruel twist of fate catapults small time crook Mickey Skinner into the big league, as head of a brutal London gang poised on the brink of a lucrative human-trafficking deal."
26038,VIPs,2011,insufficient sample,3.0,Missing,Missing,Missing,Missing,A human look on the life of one of the biggest frauds in the world happened by important people in Brazil.
