,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
7582,A Matter of Loaf and Death,2008,insufficient sample,3.0,insufficient sample,4.0,Missing,Missing,"Wallace and Gromit have a brand new business - a bakery. Although business is booming, Gromit is concerned by the news that 12 local bakers have 'disappeared' this year - but Wallace isn't worried. He's too distracted and in love with local beauty and bread enthusiast, Piella Bakewell, to be of much help. Gromit must be the sleuth and solve the escalating murder mystery."
7583,Ace of Hearts,2008,insufficient sample,2.0,insufficient sample,2.0,Missing,Missing,"Officer Daniel Harding is a distinguished member of the K-9 police unit. His partner and best friend is Ace, a police dog. When Ace is accused of mauling a suspect, an overzealous DA convinces police authorities that Ace should be euthanized."
7584,Ein Freund von mir,2006,insufficient sample,4.0,insufficient sample,6.0,Missing,Missing,"An introverted insurance executive at a car rental service is annoyed by his hyperactive, garrulous coworker, but the two end up becoming friends."
7586,Body of War,2007,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Documentary about Tomas Young, a 25 year old veteran who got paralyzed in Iraq and became an peace activist."
7587,A Man Named Pearl,2006,Missing,Missing,Missing,Missing,Missing,Missing,"Man Named Pearl tells the inspiring story of self-taught topiary artist Pearl Fryar. It offers a message that speaks to respect for both self and others, and shows what one person can achieve when he allows himself to share the full expression of his humanity."
7588,Dallas - War of The Ewings,1998,Missing,Missing,Missing,Missing,Missing,Missing,"It has been two years since Bobby and Sue Ellen Ewing took over control of Ewing Oil. Although J.R. is successfully managing a large oil conglomerate, he wants to once again own his father's company. When he discovers that Ray Krebbs' land, which is heavily mortgaged, has undiscovered oil on it, he knows that if he plays his cards right, he can purchase the land and have enough money to regain control of Ewing Oil. But his business rival Carter McKay also has his eyes on Ray's property, and may soon join Bobby and Sue Ellen as an executive at Ewing Oil. Both parties hatch schemes in order to get what they want. (Written by Phil Fernando)"
7589,Much Ado About Something,2001,Missing,Missing,insufficient sample,1.0,Missing,Missing,Did Christopher Marlowe write the works of Shakespeare?
7591,Che: Part One,2008,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","The Argentine, begins as Che and a band of Cuban exiles (led by Fidel Castro) reach the Cuban shore from Mexico in 1956. Within two years, they mobilized popular support and an army and toppled the U.S.-friendly regime of dictator Fulgencio Batista."
7592,Che: Part Two,2009,Missing,Missing,0.2,15.0,Missing,Missing,"After the Cuban Revolution, Che is at the height of his fame and power. Then he disappears, re-emerging incognito in Bolivia, where he organizes a small group of Cuban comrades and Bolivian recruits to start the great Latin American Revolution. Through this story, we come to understand how Che remains a symbol of idealism and heroism that lives in the hearts of people around the world."
7593,Starship Troopers 3: Marauder,2008,insufficient sample,7.0,insufficient sample,10.0,Missing,Missing,"The war against the Bugs continues! A Federation Starship crash-lands on the distant Alien planet OM-1, stranding beloved leader Sky Marshal Anoke and several others, including comely but tough pilot Lola Beck. It's up to Colonel/General Johnny Rico, reluctant hero of the original Bug Invasion on Planet P, to lead a team of Troopers on a daring rescue mission."
7594,Dean Spanley,2008,Missing,Missing,Missing,Missing,Missing,Missing,"Set in Edwardian England where upper lips are always stiff and men from the Colonies are not entirely to be trusted, Fisk Senior has little time or affection for his son, but when the pair visit an eccentric Indian, they start a strange journey that eventually allows the old man to find his heart."
7595,Nothing Like the Holidays,2008,Missing,Missing,insufficient sample,9.0,Missing,Missing,It’s Christmastime and the far-flung members of the Rodriguez family are converging at their parents’ home in Chicago to celebrate the season and rejoice in their youngest brother’s safe return from combat overseas.
7597,Doubt,2008,0.5238095238095238,21.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"In 1964, a Catholic school nun questions a priest's ambiguous relationship with a troubled young student, suspecting him of abuse. He denies the charges, and much of the film's quick-fire dialogue tackles themes of religion, morality, and authority."
7599,Gran Torino,2008,Missing,Missing,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man","Widower Walt Kowalski is a grumpy, prejudiced, tough-minded, unhappy, old, Korean War veteran who can't get along with either his kids or his neighbours. His prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbour, Thao—a young Hmong teenager under pressure from his gang member cousin—tries to steal his Gran Torino, Walt sets out to reform the youth and takes steps to protect Thao and his family from the gangs that infest their neighborhood."
7600,Frost/Nixon,2008,0.4,30.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans. Likewise, Frost's team harboured doubts about their boss's ability to hold his own. But as the cameras rolled, a charged battle of wits resulted."
7601,The Reader,2008,0.5,16.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom."
7602,Rab Ne Bana Di Jodi,2008,insufficient sample,2.0,Missing,Missing,Missing,Missing,"A lonely 40-ish man, likely to remain a bachelor, has a chance to find the love of his life when he falls for a vivacious young woman."
7603,Delgo,2008,insufficient sample,10.0,Missing,Missing,Missing,Missing,"In a divided land, it takes a rebellious boy and his clandestine love for a Princess of an opposing race to stop a war orchestrated by a power hungry villain."
7604,La Chambre des morts,2007,insufficient sample,2.0,0.45454545454545453,11.0,Missing,Missing,"While on a joyride with the headlights turned off, two men hit and kill another man carrying a satchel full of money. The two men decide to take the money and throw the body into a pond and bury the money in a coal hill. The next morning the police discover the body of a kidnapped 12-year blind girl, Melody, in a warehouse near the site of the hit-and-run. They determine that the kidnapper saw the girl's father bringing the ransom to him and also witnessed the hit-and-run and the men stealing the ransom."
7605,Ober,2006,insufficient sample,9.0,Missing,Missing,Missing,Missing,"Edgar works as a waiter in 'Het Westen', a restaurant. He is married and has a lover. His neighbors terrorize him with loud music and garbage. One day after he is mistreated by some customers he is sick of it all and goes to talk to his creator, the scenario writer."
7607,Il y a longtemps que je t'aime,2008,Missing,Missing,Missing,Missing,Missing,Missing,A woman struggles to interact with her family and find her place in society after spending fifteen years in prison.
7608,Jezus is een Palestijn,1999,Missing,Missing,insufficient sample,5.0,Missing,Missing,"Natasha goes to Limburg to collect her brother Ramses, who has joined a sect, so he can consent to cutting their father's life support."
7609,Seven Pounds,2008,0.25,12.0,Missing,Missing,Missing,Missing,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
7610,Meltdown: Days of Destruction,2006,insufficient sample,3.0,0.2857142857142857,14.0,Missing,Missing,"Despite scientist Nathan's warnings, his boss continues an experiment meant as publicity for his satellite firm: exploding an asteroid. Instead it splits, and the major piece, the size of Iceland, changes course to earth. It is deflected but so close that it shift our course closer to the sun, causing rapid extreme heating, hopefully only mid-term. Nathan warns his sister, TV journalist Carly, and she her lover, police detective Tom. He brings his unruly daughter Kim, her ex-con lover C.J. and her mother, nurse Bonnie, when Nathan offers a flight to a friend's Arctic weather station. Tom takes charge of a dangerous trip to the airport, as everywhere on earth things catch fire and people fight for water, transport and sheer looting."
7612,The Wrestler,2008,0.3125,16.0,Missing,Missing,Missing,Missing,"Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback."
7613,The Memory Keeper's Daughter,2008,insufficient sample,2.0,insufficient sample,3.0,Missing,Missing,"During a blizzard in 1964, Dr. David Henry delivers his son Paul with the help of nurse Caroline. But when Henry realizes his wife is also carrying a girl with Down syndrome, he hands the second child over to Caroline without his wife's knowledge. Henry's fateful decision yields grave consequences for his family over the next 20 years."
7615,Petites coupures,2003,Missing,Missing,Missing,Missing,Missing,Missing,"Bruno, a communist newspaper journalist, is suffering a mid-life crisis. Torn between his wife Gaëlle and his young girlfriend Nathalie, his political beliefs battered by the wind of history, Bruno seems to have lost his bearings."
7616,Tuya de hun shi,2006,Missing,Missing,Missing,Missing,Missing,Missing,"Set in Inner Mongolia, a physical setback causes a young woman to choose a suitor who can take care of her, as well as her disabled husband."
7617,The Curious Case of Benjamin Button,2008,Missing,Missing,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious","Born under unusual circumstances, Benjamin Button springs into being as an elderly man in a New Orleans nursing home and ages in reverse. Twelve years after his birth, he meets Daisy, a child who flits in and out of his life as she grows up to be a dancer. Though he has all sorts of unusual adventures over the course of his life, it is his relationship with Daisy, and the hope that they will come together at the right time, that drives Benjamin forward."
7618,Yes Man,2008,0.15384615384615385,26.0,Missing,Missing,Missing,Missing,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.
