,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
7500,The Express,2008,insufficient sample,10.0,Missing,Missing,Missing,Missing,"Based on the incredible true story, The Express follows the inspirational life of college football hero Ernie Davis, the first African-American to win the Heisman Trophy."
7501,Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,2002,Missing,Missing,Missing,Missing,Missing,Missing,"After being punished for retreat from combat, Ranger David Martel is given command of the Liandra, a haunted 20-year old Minbari fighting ship. He's escorting ambassadors to a secret archaeological site, the oldest city on record and a clue to a dangerous ancient race."
7502,Babylon 5: The Lost Tales - Voices in the Dark,2007,Missing,Missing,insufficient sample,8.0,Missing,Missing,"This latest installment of Babylon 5 is in two parts: the first, is about an entity that has possessed a worker. It wants to be exorcised but Col. Lochley prevents the priest &amp; sends it &amp; the host both back to Earth. The second is about Galen trying to dupe President Sheridan into assassinating the future Centauri President to stop him possibly attacking Earth in 30 years time."
7504,RockNRolla,2008,0.2727272727272727,11.0,0.125,16.0,1,"There are two or more women in this movie, but they don't talk to each other","When a Russian mobster sets up a real estate scam that generates millions of pounds, various members of London's criminal underworld pursue their share of the fortune. Various shady characters, including Mr One-Two, Stella the accountant, and Johnny Quid, a druggie rock-star, try to claim their slice."
7505,Zen Noir,2004,Missing,Missing,insufficient sample,3.0,Missing,Missing,No overview found.
7506,High School Musical 3: Senior Year,2008,insufficient sample,6.0,0.5714285714285714,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"It's almost graduation day for high school seniors Troy, Gabriella, Sharpay, Chad, Ryan and Taylor ― and the thought of heading off in separate directions after leaving East High has these Wildcats thinking they need to do something they'll remember forever. Together with the rest of the Wildcats, they stage a spring musical reflecting their hopes and fears about the future and their unforgettable experiences growing up together. But with graduation approaching and college plans in question, what will become of the dreams, romances, and friendships of East High's senior Wildcats?"
7507,Resitance,2003,insufficient sample,1.0,Missing,Missing,Missing,Missing,"The epic tale of an American reconnaissance pilot downed in occupied Belgium at the height of World War II. Hidden by resistance fighters, the pilot falls in love with the wife of the man who will save him. When their affair is exposed, an act of betrayal threatens their lives and the entire resistance movement, forcing the pilot to make a powerful choice that could change the course of the war."
7508,Futurama: Bender's Game,2008,insufficient sample,7.0,insufficient sample,5.0,1,"There are two or more women in this movie, but they don't talk to each other","When Leela is insulted by a group of space-rednecks (like regular rednecks, but in space) she enters the Planet Express ship in a demolition derby.  She emerges victorious, but when she brings the damaged ship home and the Professor sees the fuel gauge, he's enraged by the hit he's going to take at the Dark Matter pump.  Now the crew have to find a way to break Mom's stranglehold on starship fuel, even if they have to wade through a Lord of the Rings-inspired fantasy-land to do it!"
7511,Madagascar: Escape 2 Africa,2008,insufficient sample,2.0,Missing,Missing,Missing,Missing,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home."
7513,Blindness,2008,0.4666666666666667,15.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine."
7514,Changeling,2008,0.1,20.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum."
7515,The Road,2009,insufficient sample,8.0,Missing,Missing,Missing,Missing,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there."
7516,Slumdog Millionaire,2008,Missing,Missing,Missing,Missing,Missing,Missing,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating."
7517,Quantum of Solace,2008,0.2,15.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined."
7518,Filth and Wisdom,2008,insufficient sample,3.0,Missing,Missing,Missing,Missing,Filth & Wisdom is a poignant view of the lives of three not quite ordinary friends settled into meaningless jobs that barely keep them afloat while helping to finance their dreams of bigger and brighter futures. Their unique yet universal stories capture their struggles that are at turns funny and tragic but always brutally honest. Their intertwined lives explore the inevitable: a path paved with filth will often end in wisdom and one paved with wisdom will often end in filth.
7519,Role Models,2008,0.3448275862068966,29.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest, the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids, however, jail doesn't look half bad."
7522,Sauna,2010,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing,"It is 1595. Brutal wars have just ended in an uneasy peace between Protestant Sweden and Orthodox Russia. We focus on the spiritual defeats of two conquered Finnish brothers, one a hardened near-psychopathic war hero, the other a gentle scientist in an age with no use for such men. They find themselves in the swampy interior, demarcating the new border with a unit of sadistic Russians."
7524,JCVD,2008,insufficient sample,8.0,Missing,Missing,Missing,Missing,"Between his tax problems and his legal battle with his wife for the custody of his daughter, these are hard times for the action movie star who finds that even Steven Seagal has pinched a role from him! Jean-Claude Van Damme returns to the country of his birth to seek the peace and tranquility he can no longer enjoy in the United States."
7525,Feiern,2006,Missing,Missing,Missing,Missing,Missing,Missing,"The film features people from Berlin's electronic dance music scenes (primarily house music and techno, but especially their “minimal” sub-scenes). The majority of the film consists of footage of individual interviews, cut and interpolated together to create narratives around certain themes, such as music, drugs, love, addiction, friendship, and sexuality. Among the interviewees were DJs, bouncers, bartenders, and partygoers."
7526,Happily Ever After,1990,insufficient sample,1.0,insufficient sample,8.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"The Wicked Queen is dead but her brother, Lord Maliss, seeks for revenge. Using the Magic Mirror to locate Snow White and the Prince, he transforms into a dragon and attacks. Maliss takes the Prince to the Realm of Doom. Snow White, with the aid of the Seven Dwarfesses, cousins of the Sevens Dwarves, must embark on a quest to save her true love."
7528,Slacker Uprising,2007,insufficient sample,4.0,Missing,Missing,Missing,Missing,Michael Moore visits colleges in swing states during the 2004 election with a goal to encourage 18–29 year old to vote.
7530,O Homem Que Desafiou o Diabo,2007,insufficient sample,1.0,Missing,Missing,Missing,Missing,"After being forced into a marriage and enduring a humiliating work routine in the hands of his father-in-law, Zé Araújo becomes the mythical Ojuara, an unconventional hero devoted to debauchery."
7531,Krabat,2008,insufficient sample,4.0,insufficient sample,9.0,Missing,Missing,"A 14-year-old orphan named Krabat flees the horrors of the 30 Years War by becoming an apprentice to an ominous master of a mysterious mill. Krabat is not only taught the craft of milling, but is also instructed in the sinister world of the darker arts. When the life of his friend and protector is threatened, Krabat must struggle to free himself from an evil sorcerer's control in a gripping fight for freedom, friendship and love."
7533,Joulutarina,2007,Missing,Missing,insufficient sample,4.0,Missing,Missing,"Hundreds of years ago in Lapland, a little boy named Nikolas loses his family in an accident. The villagers decide to look after the orphaned boy together. Once a year - at Christmas - Nikolas moves to a new home. To show his gratitude, Nikolas decides to make toys for the children of the families as good-bye presents. Over the years, Nikolas's former adoptive families become many, and soon almost every house has presents on its doorstep on Christmas morning. At thirteen, Nikolas is sent to live and work with Iisakki, a grumpy old carpenter, who forbids Nikolas to continue making presents for Christmas. Gradually, however, Nikolas wins Iisakki's trust. Together they begin to look after the Christmas traditional that Nikolas has begun. When the aged Iisakki has to leave Nikolas and move away, the tradition of Christmas presents is once again at risk. Thankfully, Nikolas comes up with a solution that brings children joy every Christmas, even continuing to today."
7534,GP506,2008,Missing,Missing,insufficient sample,3.0,Missing,Missing,"The plot concerns Guard Point 506, where an entire squad of soldiers have been killed in mysterious circumstances, bar one survivor who's in a coma. Military Investigators are dispatched to the base, and discover they're dealing with a virus that turns humans into ravenous flesh-eating killers!"
7535,Todas las azafatas van al cielo,2002,insufficient sample,3.0,insufficient sample,4.0,Missing,Missing,"Teresa is a stewardess who lives a perfect life in the midst of his impeccable suits world clean and prepared foods. However the world scares land: men, motherhood, love ... Meanwhile, Julian, a young doctor, must travel to Ushuaia to throw the ashes of his dead wife in the place where they fell in love."
7536,Camp Rock,2008,insufficient sample,3.0,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself."
7538,Saw V,2008,0.18181818181818182,11.0,0.5,12.0,Missing,Missing,"Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends."
7540,Critters 4,1992,insufficient sample,10.0,insufficient sample,7.0,1,"There are two or more women in this movie, but they don't talk to each other","Just before bounty hunter Charile triggers his gun to destroy the last two Critter-eggs, he gets a message that it would be illegal to extinguish the race from the galaxy. He's sent a transporter where he puts the eggs - unfortunately the transporter takes him with it and then gets lost in space."
7542,Sex Drive,2008,Missing,Missing,insufficient sample,10.0,Missing,Missing,A high school senior drives cross-country with his best friends to hook up with a babe he met online.
7543,Soul Men,2008,insufficient sample,3.0,0.2857142857142857,14.0,Missing,Missing,"Two former backup soul singers, Louis and Floyd, have not spoken to each other in 20 years, and reluctantly agree to travel across the country together to a reunion concert to honor their recently-deceased lead singer. Cleo, a beautiful young woman who is believed to be Floyd's daughter, accompanies them as a new singer."
7544,While She Was Out,2008,0.2857142857142857,21.0,insufficient sample,6.0,Missing,Missing,A suburban housewife is forced to fend for herself when she becomes stranded in a desolate forest with four murderous thugs.
7546,Beverly Hills Chihuahua,2008,insufficient sample,1.0,Missing,Missing,Missing,Missing,"A pampered Beverly Hills chihuahua named Chloe who, while on vacation in Mexico with her owner Viv's niece, Rachel, gets lost and must rely on her friends to help her get back home before she is caught by a dognapper who wants to ransom her."
7548,Purple Violets,2007,insufficient sample,3.0,Missing,Missing,Missing,Missing,"Patti Petalson is a promising writer, but her marriage and conventional job keep her from her dream. She longs to return to her writing, especially after running into her first love Brian Callahan, a successful crime novelist. Kate is Patti's best friend since college; she's a tough-talking schoolteacher who plays therapist to all Patti's problems, while she's got a few of her own."
7549,Christmas on Mars,2008,insufficient sample,1.0,insufficient sample,4.0,Missing,Missing,"The film tells the story of the experiences of Major Syrtis during the first Christmas on a newly-colonized Mars. Coyne has described the film as ""Maybe Eraserhead or Dead Man crossed with some kind of fantasy and space aspects, like The Wizard of Oz and maybe A Space Odyssey, and set at Christmas-time. The story that unfolds is intended to hint at childlike magic within a tragic and realistic situation."""
7551,Der freie Wille,2006,insufficient sample,7.0,Missing,Missing,Missing,Missing,"After nine years in psychiatric detention Theo, who has brutally assaulted and raped three women, is released. Living in a supervised community, he connects well with his social worker Sascha, finds a job at a print shop and even a girlfriend, Nettie, his principal's brittle and estranged daughter. But even though superficially everything seems to work out Theo's seething rage remains ready to erupt."
7554,The Living Sea,1995,insufficient sample,5.0,insufficient sample,1.0,Missing,Missing,"The Living Sea, a film about the world's oceans, increases sensitivity among peoples around the world to the beautiful, powerful, productive, but ultimately fragile, marine environment. Through the exciting use of marine technology, this vast scientific frontier will be explored with the people who are building a healthy coexistence with Earth's oceans."
7555,Ring of Darkness,2004,insufficient sample,3.0,insufficient sample,5.0,Missing,Missing,"When the singer of a popular rock band disappears under mysterious circumstances, a contest to find a replacement soon turns from dream-come-true to waking nightmare for the young singer who hopes to take the job."
7556,Entre les murs,2008,insufficient sample,5.0,insufficient sample,1.0,Missing,Missing,Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.
7557,Splinter,2008,0.16666666666666666,12.0,insufficient sample,5.0,Missing,Missing,"When their plans for a nature trip go awry, Polly and boyfriend Seth decide to check into a motel. On their way, they're carjacked and kidnapped by low-rent crooks Dennis and Lacey, who take the victims and their SUV to a nearby gas station. Along the way, they encounter an increasingly terrifying horde of parasites, and if any of them intend to survive, they'll have to outsmart the deadly organisms."
7558,Confessions of a Superhero,2007,Missing,Missing,Missing,Missing,Missing,Missing,"CONFESSIONS OF A SUPERHERO is a feature length documentary chronicling the lives of three mortal men and one woman who make their living working as superhero characters on the sidewalks of Hollywood Boulevard. This deeply personal view into their daily routines reveals their hardships, and triumphs, as they pursue and achieve their own kind of fame. The Hulk sold his Super Nintendo for a bus ticket to LA; Wonder Woman was a mid-western homecoming queen; Batman struggles with his anger, while Superman’s psyche is consumed by the Man of Steel. Although the Walk of Fame is right beneath their feet, their own paths to stardom prove to be a long, hard climbs."
7560,Kanak Attack,2000,insufficient sample,1.0,Missing,Missing,Missing,Missing,No overview found.
7561,Australia,2008,Missing,Missing,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man","Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin by Japanese forces firsthand."
7562,Bolt,2008,0.02564102564102564,39.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home."
7563,Milk,2008,insufficient sample,5.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","The true story of Harvey Milk, the first openly gay man ever elected to public office. In San Francisco in the late 1970s, Harvey Milk becomes an activist for gay rights and inspires others to join him in his fight for equal rights that should be available to all Americans."
7564,Twilight,2008,insufficient sample,2.0,Missing,Missing,Missing,Missing,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan."
7565,The Children,2008,0.08333333333333333,12.0,insufficient sample,6.0,Missing,Missing,A relaxing Christmas vacation turns into a terrifying fight for survival as the children begin to turn on their parents
7566,Transporter 3,2008,insufficient sample,3.0,Missing,Missing,Missing,Missing,"Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukranian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective."
7567,Four Christmases,2008,0.2,15.0,0.42857142857142855,21.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Brad and Kate have made something of an art form out of avoiding their families during the holidays, but this year their foolproof plan is about go bust -- big time. Stuck at the city airport after all departing flights are canceled, the couple is embarrassed to see their ruse exposed to the world by an overzealous television reporter. Now, Brad and Kate are left with precious little choice other than to swallow their pride and suffer the rounds."
7568,The Boy in the Striped Pyjamas,2008,insufficient sample,10.0,Missing,Missing,Missing,Missing,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls."
7569,Surveillance,2008,0.3333333333333333,12.0,0.45454545454545453,11.0,Missing,Missing,An FBI agent tracks a serial killer with the help of three of his would-be victims - all of whom have wildly different stories to tell.
7571,Fireproof,2008,insufficient sample,3.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man","In Albany, the marriage of Caleb and Catherine Holt is in crisis and they decide to divorce. However, Caleb's father, John, proposes that his son delays their separation process for forty days and follow a procedure called ""The Love Dare"" to make them love each other again."
7572,Igor,2008,insufficient sample,1.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man","A cliché hunchbacked evil scientist's assistant aspires to become a scientist himself, much to the displeasure of the rest of the evil science community."
7573,The Devil's Chair,2007,insufficient sample,10.0,insufficient sample,5.0,Missing,Missing,"With a pocketful of drugs, Nick West takes out his girlfriend Sammy, for a shag and a good time. When they explore an abandoned asylum, the discovery of a bizarre device - a cross between an electric chair and sadistic fetish machine - transforms drugged-out bliss into agony and despair"
7574,Dinotopia,2002,insufficient sample,6.0,insufficient sample,3.0,Missing,Missing,"When a shipwreck is found on the shores of Dinotopia, Karl uses his newly discovered radio to make contact with the drifting survivors. But what will happen if that bridge between two worlds is crossed?"
7576,Cadillac Records,2008,insufficient sample,4.0,Missing,Missing,Missing,Missing,"The story of sex, violence, race and rock and roll in 1950s Chicago, and the exciting but turbulent lives of some of America's musical legends, including Muddy Waters, Leonard Chess, Little Walter, Howlin' Wolf, Etta James and Chuck Berry."
7577,Punisher: War Zone,2008,0.2608695652173913,23.0,0.0625,16.0,Missing,Missing,"Waging his one-man war on the world of organized crime, ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle, he sets out for vengeance under his new alias: Jigsaw. With the ""Punisher Task Force"" hot on his trail and the FBI unable to take Jigsaw in, Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished."
7578,The Guyver,1991,Missing,Missing,Missing,Missing,Missing,Missing,"FBI agent Max Reed witnesses Dr. Tetsu Segawa - a researcher for the mysterious Chronos Corporation - being murdered. Dr. Segawa had stolen an alien device known as ""The Guyver"" from Chronos. College student Sean Barker, whose girlfriend's father was Dr. Segawa, finds the Guyver's hiding spot while watching the forensic team investigating the crime scene."
7579,Flashbacks of a Fool,2008,0.2727272727272727,11.0,Missing,Missing,Missing,Missing,"An aging Hollywood star, Joe Scott, lives a life of narcissistic hedonism, observed by his laconic personal assistant, Ophelia. The death of his childhood best friend, Boots, takes our protagonist, and the movie, into an extended flashback to a sea-side town in 1970's Britain."
7580,Shrek the Halls,2007,insufficient sample,5.0,insufficient sample,9.0,Missing,Missing,"The Christmas tree isn't the only thing green in this new holiday classic. Shrek is back and trying to get into the spirit of the season. After promising Fiona and the kids a Christmas they'll remember, he is forced to take a crash course in the holiday. But just when he thinks he has everything for their quiet family Christmas just right, there is a knock at the door."
7581,The Pervert's Guide to Cinema,2006,Missing,Missing,Missing,Missing,Missing,Missing,"The Pervert's Guide to Cinema offers an introduction into some of Žižek's most exciting ideas on fantasy, reality, sexuality, subjectivity, desire, materiality and cinematic form. Whether he is untangling the famously baffling films of David Lynch, or overturning everything you thought you knew about Hitchcock, Žižek illuminates the screen with his passion, intellect, and unfailing sense of humour."
