,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
5535,Grizzly Man,2005,insufficient sample,6.0,insufficient sample,2.0,Missing,Missing,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature."
5537,The 24th Day,2004,Missing,Missing,insufficient sample,3.0,Missing,Missing,Tom and Dan's one-night stand turns into an intense power-play between captor and captive.
5539,Mermaid Chronicles Part 1: She Creature,2001,insufficient sample,5.0,Missing,Missing,Missing,Missing,"Two carnies (Sewell and Gugino) abduct a mermaid in Ireland, circa 1900, and decide to transport her to America. As their ship loses its way and heads towards the mythical Forbidden Islands, the mermaid begins to display its deadly side."
5541,One Point O,2004,insufficient sample,2.0,insufficient sample,5.0,1,"There are two or more women in this movie, but they don't talk to each other","Paranoid computer programmer Simon wakes up to find a package in his room one day. Despite attempts at securing his apartment, the packages keep arriving. While cameras watch Simon's every move, he struggles to find the answers to the mysterious forces taking over his life."
5542,My Date with Drew,2005,insufficient sample,4.0,Missing,Missing,Missing,Missing,"Ever since the second grade when he first saw her in E.T. The Extraterrestrial, Brian Herzlinger has had a crush on Drew Barrymore. Now, 20 years later he's decided to try to fulfill his lifelong dream by asking her for a date. There's one small problem: She's Drew Barrymore and he's, well, Brian Herzlinger, a broke 27-year-old aspiring filmmaker from New Jersey."
5543,Pusher II,2004,insufficient sample,7.0,Missing,Missing,Missing,Missing,"Tony is released from prison - again. This time he has his mind set on changing his broken down life, but that is easier said than done"
5544,Duma,2005,insufficient sample,4.0,insufficient sample,6.0,Missing,Missing,An orphaned cheetah becomes the best friend and pet of a young boy living in South Africa.
5546,The Third Wheel,2002,insufficient sample,5.0,0.4166666666666667,12.0,Missing,Missing,"The clumsy and shy Stanley is a nice fellow, beloved by his colleagues in the office. He has a crush on the gorgeous new-hire Diana, but he has difficulties to get close to her. When Stanley finally invites Diana for a date, he hits the homeless Phil with his Taurus, and his planned night turns upside down."
5549,Cast a Deadly Spell,1991,insufficient sample,4.0,Missing,Missing,Missing,Missing,"In a fantastical 1940s where magic is used by everyone, a hard-boiled detective investigates the theft of a mystical tome."
5550,Fickende Fische,2002,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing,"16-year old Jan is absent-mindedly strolling through the streets when he's run over by roller-skating Nina. As fast as she has stormed into his life, however, she rushes off again. Nina is 15 years old and full of crazy ideas. She lives together with her brother, her father and his new girlfriend. Her mother isn't in touch much. That's why there is the unconventional Angel whose own daughter disappeared years ago and who is Nina's best friend and substitute mother."
5552,The 40 Year Old Virgin,2005,insufficient sample,5.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom."
5555,Red Eye,2005,0.5263157894736842,19.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side."
5556,Lightning Bug,2004,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing,"In this drama thriller set in the South, a young boy named Green (Bret Harrison) longs to escape his unhappy life but feels trapped in his hometown. A gifted special-effects makeup artist, Green has big dreams of working in Hollywood. But the boy's personal demons -- a drunken, abusive stepfather, a group of religious zealots out to destroy his work and the love of a girl who prefers small-town life -- may stand in the way of his dreams."
5557,Main Hoon Na,2004,insufficient sample,4.0,0.4,15.0,Missing,Missing,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother."
5558,Dilwale Dulhania Le Jayenge,1995,insufficient sample,9.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
